Cement,Slag,Fly ash,Water,SP,CoarseAgg,FineAgg,Slump,Flow,Strength
165,150,0,182,12,1023,729,14.5,20,18.26
304,0,140,214,6,895,722,19,51,38.46
145,177,227,209,11,752,715,2.5,20,35.66
298,107,137,201,6,878,655,16,26,41.27
318,126,0,210,6,861,737,17.5,48,31.77
280,92,118,207,9,883,679,25.5,64,37.39
159,0,248,175,12,1041,683,21,51,35.39
313,124,0,205,11,846,758,22,49,29.63
295,106,136,208,6,871,650,26.5,70,39.4
184.3,153.4,239.2,179,7.5,920.2,640.9,0,20,41.01
140.2,30.5,239,169.4,5.3,1028.4,742.7,21.25,46,36.32
162,148,190,179,19,838,741,3,21.5,42.08
159,0,187,176,11,990,789,12,39,32.57
310,0,143,168,10,914,804,20.5,48.2,49.3
146,106,137,209,6,875,765,24,67,27.89
160,0,250,168,12,1049,688,18,48,37.66
336,134,0,222,6,756,787,26,64,31.9
314,0,161,207,6,851,757,21.5,64,41.14
145,106,136,208,10,751,883,24.5,61,26.02
299,107,0,210,10,881,745,25,63,28.29
153,0,239,200,6,1002,684,12,35,28.29
137,167,214,226,6,708,757,27.5,70,34.45
273,82,105,210,9,904,680,23,62,34.99
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,9.5,27.5,37.92
152,0,237,204,6,785,892,15.5,51,32.71
152,139,178,168,18,944,695,0,20,38.86
172,162.1,238.5,166,7.4,953.3,641.4,0,20,41.54
159,116,149,175,15,953,720,23.5,54.5,34.05
374,0,0,190,7,1013,730,14.5,42.5,32.44
307,110,0,189,10,904,765,22,40,31.5
252,76,97,194,8,835,821,23,54,33.11
313,112,0,220,10,794,789,23,58,28.16
366,0,187,191,7,824,757,24.75,62.7,52.65
140,1.4,198.1,174.9,4.4,1049.9,780.5,16.25,31,30.83
140,128,164,237,6,869,656,24,65,29.5
310,0,143,218,10,787,804,13,46,36.19
275,99,127,184,13,810,790,25.75,64.5,43.54
150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5,38.19
140,128,164,183,12,871,775,23.75,53,33.38
320,127,164,211,6,721,723,2,20,46.36
158,0,246,174,7,1035,706,19,43,34.99
326,0,167,174,6,884,792,21.5,42,52.65
145,0,227,240,6,750,853,14.5,58.5,36.59
165.3,143.2,238.3,200.4,7.1,883.2,652.6,17,27,32.84
322,0,149,186,8,951,709,20.5,61.5,45.42
141.1,0.6,209.5,188.8,4.6,996.1,789.2,23.5,53,30.43
305,100,0,196,10,959,705,20,49,29.77
291,104,0,231,9,857,725,23,69,30.43
261,78,100,201,9,864,761,23,63.5,34.18
162,148,191,179,16,840,743,1,20,41.81
248.3,101,239.1,168.9,7.7,954.2,640.6,0,20,49.97
148,109,139,193,7,768,902,23.75,58,28.03
160.2,0.3,240,233.5,9.2,781,841.1,24,75,36.19
154,141,181,234,11,797,683,23,65,33.51
