x,y,f(x y)
-4,-10,110.25304915622854
-4,6,125.50179334070633
9,-7,-616.0498659366749
-6,7,307.3257476712413
-10,9,1170.0935238539766
0,2,5.266303973310063
0,5,29.98616953866617
0,1,1.7738599610956054
-6,1,859.6516609577737
-2,4,33.22129432101293
9,-4,-671.6725010264371
6,0,-209.75723210722003
-7,-4,319.8710144499291
-7,-9,344.8997735027821
-6,-7,209.81702063152022
8,6,-509.85496482761323
-5,-3,111.69530218767761
-1,3,15.035733185318287
5,7,-99.46011167819753
3,-3,-9.113007656463791
-5,5,175.7753537603129
-5,-2,112.10064028913618
0,2,5.06732297021114
-3,-9,68.82315145178347
-7,-6,324.2392088757486
2,-10,103.75743031249822
-1,-7,35.24554883422341
-7,-10,355.5931371535287
1,2,1196.4344098245028
-7,2,356.52684202224924
-9,-9,710.4778061143014
3,0,-23.862139198951425
9,-5,-654.907704462051
-4,3,84.66321148857125
-1,-9,62.39866714557762
7,-5,-281.5203173435993
6,7,-194.81742602110612
2,-9,84.01179972575265
-3,-6,36.64839884478574
3,4,-16.31820928398212
-2,-4,10.49427716601522
0,1,1.3221332690293877
-8,0,504.8593142614527
-3,-3,20.599036399908734
2,0,-5.311948464607981
0,1,1.4484499080044304
-4,5,110.06704936496007
-1,-10,-1104.46123201043
-7,-5,320.9354223616757
5,-7,-43.25840501174796
